counter,counter_edited
Beach Road Cyclists,Beach Road Cyclists
Carlton Gore Cycle Counter Cyclists,Carlton Gore Cycle Counter Cyclists
Curran St total,Curran St total
East_Coast_Road Cyclists,East Coast Road Cyclists
Glen Innes (Te Ara ki Uta ki Tai),Glen Innes (Te Ara ki Uta ki Tai)
Grafton Bridge Cyclists,Grafton Bridge Cyclists
Grafton Gully Cyclists,Grafton Gully Cyclists
Grafton Road Cyclists,Grafton Road Cyclists
Great North Rd,Great North Rd
Great South Road Total,Great South Road Total
HighBrook Cyclists,HighBrook Cyclists
Hopetoun Street Cyclists,Hopetoun Street Cyclists
Karangahape Road Cyclists,Karangahape Road Cyclists
Lagoon_Drive Cyclists,Lagoon Drive Cyclists
Lake Road Total,Lake Road Total
Mangere Bridge Cyclists,Mangere Bridge Cyclists
Mangere Safe Routes Cyclists,Mangere Safe Routes Cyclists
Nelson Street Cyclists,Nelson Street Cyclists
Nelson Street Lightpath Counter Cyclists,Nelson Street Lightpath Counter Cyclists
NW Cycleway Kingsland Cyclists,NW Cycleway Kingsland Cyclists
NW Cycleway TeAtatu Cyclists,NW Cycleway TeAtatu Cyclists
Orewa Path Cyclists,Orewa Path Cyclists
Quay Street Totem Cyclists,Quay Street Totem Cyclists
Quay St Vector Arena,Quay St Vector Arena
SH20 Dominion Road Cyclists,SH20 Dominion Road Cyclists
Symonds St Total,Symonds St Total
Tamaki Dr total,Tamaki Dr total
TeWero Bridge Bike Counter Cyclists,TeWero Bridge Bike Counter Cyclists
Twin Streams Cyclists,Twin Streams Cyclists
Upper Harbour New Cyclists,Upper Harbour  Cyclists
Upper Queen Street Cyclists,Upper Queen Street Cyclists
Vic St Wst total,Vic St Wst total
Curran Street Total,Curran St total
Dominion Road (near View Rd) Total Cyclists,Dominion Road (near View Rd) Total Cyclists
Great North Road Cyclists,Great North Road Cyclists
Matakana Cyclists,Matakana Cyclists
Oceanview Rd Waiheke Cyclists,Oceanview Rd Waiheke Cyclists
Ormiston Rd Total Cyclists,Ormiston Rd Total Cyclists
Pukekohe - Queen St Cyclists,Pukekohe - Queen St Cyclists
Quay Street Spark Arena Total,Quay St Spark Arena Total Cyclists
Saint Lukes Rd Total,Saint Lukes Rd Total
Tamaki Drive Total,Tamaki Drive Total
Victoria Street West Total Cyclists,Victoria Street West Total Cyclists
Waterview SP Unitec,Waterview SP Unitec
Archibald Park Cyclists,Archibald Park Cyclists
Curran Street Total Cyclists,Curran St total
Dominion Road Total Cyclists,Dominion Road Total Cyclists
East Coast Road Cyclists,East Coast Road Cyclists
GI TO TAMAKI DR SECTION-1 Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists
Great North Rd Total,Great North Rd
Great South Road Total Cyclists,Great South Road Total
Lagoon Drive Cyclists,Lagoon Drive Cyclists
Lake Road Total Cyclists,Lake Road Total
Quay St Spark Arena Total Cyclists,Quay St Spark Arena Total Cyclists
Quay St Totem UZELT Cyclists,Quay St Totem UZELT Cyclists
Rankin Ave Cyclists,Rankin Ave Cyclists
SH20A path (sth of Kirkbride Rd),SH20A path (sth of Kirkbride Rd)
SW Shared Path Cyclists,SW Shared Path Cyclists
Symonds St Total Cyclists,Symonds St Total
Tamaki Drive Total Cyclists,Tamaki Drive Total
TeAtatu Peninsula Pathway Cyclists,TeAtatu Peninsula Pathway Cyclists
Upper Harbour  Cyclists,Upper Harbour  Cyclists
Waterview Unitec Counter Cyclists,Waterview Unitec Counter Cyclists
